identifier_slug,field,temporal_scope,domain_category,knowledge_areas,body_of_knowledge_coverage,body_of_knowledge_details,earliest_historical_year,age_epoch_of_history,dependencies,interconnections,synergistic_relationships,evolutionary_pathways,knowledge_dependency_graph,non_western_knowledge_systems,indigenous_knowledge,alternative_epistemologies,cultural_variations,technological_advancements,space_exploration_implications,post_earth_civilization_needs,real_world_implementations,professional_practices,industry_standards,data_quality,data_source,last_updated,Column1,signal_icon,layer,epistemology,cultural_context,standardization,included_internet
crypto_culture,Crypto Culture,2008 - Present,Cryptocurrency,"Blockchain Technology, Cryptocurrency Trading, Decentralized Finance (DeFi), Non-Fungible Tokens (NFTs), Crypto Mining, Initial Coin Offerings (ICOs), Smart Contracts, Crypto Wallets, Crypto Security, Crypto Regulations","Blockchain technology, Cryptocurrency types, Crypto trading, Crypto mining, Decentralized finance (DeFi), Non-fungible tokens (NFTs), Initial Coin Offerings (ICOs), Crypto wallets, Smart contracts, Crypto regulations, Security and privacy in crypto transactions, Crypto communities and social impact","Crypto Culture refers to the social and cultural phenomena associated with cryptocurrencies and blockchain technology. This includes the values, practices, symbols, and language used by individuals and communities involved in cryptocurrency trading, blockchain development, and related activities. It also encompasses the impact of cryptocurrencies and blockchain on society, economy, and law",2008,Digital Age,"Blockchain Technology, Cryptocurrencies, Internet Infrastructure, Cybersecurity, Digital Literacy, Regulatory Frameworks","Blockchain technology, Internet culture, Financial systems, Cybersecurity, Decentralization, Peer-to-peer networks, Digital art (NFTs), Legal regulations, Environmental sustainability, Privacy and anonymity, Cryptography, Global economy","Blockchain technology, Decentralized Finance (DeFi), NFT Art, Initial Coin Offerings (ICOs), Crypto Exchanges, Crypto Mining, Digital Privacy, Cybersecurity, Peer-to-Peer Networks, Open Source Software","Emergence of Bitcoin, Altcoin Evolution, Initial Coin Offerings (ICOs) Boom, Stablecoins Development, DeFi (Decentralized Finance) Growth, NFTs (Non-Fungible Tokens) Popularity, DAOs (Decentralized Autonomous Organizations) Rise, Layer-2","{
  ""crypto_culture"": {
    ""dependencies"": [
      ""blockchain_technology"",
      ""cryptocurrency"",
      ""decentralized_finance"",
      ""non_fungible_tokens"",
      ""smart_contracts"",
      ""crypto_art"",
      ""crypto_gaming"",
      ""crypto_laws_and_regulations"",
      ""crypto_security"",
      ""crypto_communities""
    ]
  }
}",Limited Presence,Blockchain technology and decentralized finance principles,Decentralization and Blockchain Knowledge Systems,"Global Adoption, Regional Regulations, Community Practices, Language Variations, Cryptocurrency Festivals and Events, Crypto Art Movements, NFT Collectibles Trends, Blockchain Education Differences, Investment Behaviors, Crypto Mining Practices","Blockchain technology, Cryptocurrency exchanges, Decentralized finance (DeFi), Non-fungible tokens (NFTs), Smart contracts, Cryptography, Peer-to-peer networks, Mining technology, Digital wallets, Initial coin offerings (ICOs), Layer 2 scaling solutions, Proof of stake (Po",Potential for funding and advancing space exploration through cryptocurrency investments and blockchain technology applications.,Understanding and leveraging blockchain technology,"Bitcoin, Ethereum, NFT Art Platforms (OpenSea, Rarible), DeFi Platforms (Uniswap, Compound), Cryptocurrency Exchanges (Binance, Coinbase), Cryptocurrency Wallets (Metamask, Trust Wallet), Blockchain Games (CryptoKitties, Axie Infinity),","Blockchain technology adoption, Cryptocurrency trading, Decentralized finance (DeFi) practices, Initial Coin Offering (ICO) participation, NFT creation and trading, Crypto mining, Use of decentralized applications (dApps), Privacy and security measures in crypto transactions","Blockchain technology, Cryptocurrency regulations, Decentralized Finance (DeFi) protocols, Non-Fungible Tokens (NFT) standards, Smart Contract development practices",High,CoinDesk,3/9/2022,Bitcoin Adoption,Bitcoin_symbol_icon,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
self_help_productivity,Self-help & Productivity,Lifetime,Personal Development,"Time Management, Goal Setting, Stress Management, Personal Development, Motivation Techniques, Productivity Tools, Mindfulness, Work-Life Balance, Personal Efficiency, Habit Formation, Life Coaching","Personal Development Strategies, Time Management Techniques, Goal Setting Methods, Stress Management, Decision Making Skills, Problem Solving Techniques, Mindfulness Practices, Motivation Techniques, Productivity Tools and Software, Work-Life Balance Tips","This field encompasses knowledge and strategies related to personal development, goal setting, time management, stress management, and work-life balance. It includes various productivity methods, techniques, and tools such as the Eisenhower Box, Pomodoro Technique, SMART goals, and Bullet Journaling. It also involves understanding of self",1859,Contemporary,"Time management, goal setting, motivation, personal development books, productivity tools & apps, stress management techniques, life coaching, self-discipline, habit formation, mindfulness and meditation practices.","Time management, Motivation, Personal development, Stress management, Goal setting, Work-life balance, Mindfulness, Habit formation, Efficiency, Life coaching","Time Management, Goal Setting, Motivation, Stress Management, Personal Development, Life Coaching","Personal Development, Time Management, Goal Setting, Stress Management, Motivation Techniques, Habit Formation, Mindfulness Practices","{
  ""self_help_productivity"": {
    ""depends_on"": [""psychology"", ""time_management"", ""goal_setting"", ""motivation"", ""personal_development""],
    ""depended_on_by"": [""career_development"", ""life_coaching"", ""entrepreneurship""]
  }
}",Buddhist mindfulness techniques,Traditional time-management techniques,"Mindfulness and Meditation Practices, Time Management Theories, Personal Development Philosophies, Emotional Intelligence Studies, Positive Psychology Principles","Self-improvement practices across different cultures, Time management techniques in various cultures, Cultural influence on productivity tools usage, Cross-cultural variations in work-life balance strategies",Productivity Apps and Tools,Minimal,Development of Personal Growth and Efficiency Skills,"Time management apps, motivational seminars, personal coaching sessions, self-help books, online productivity courses, meditation and mindfulness programs, goal setting workshops, task management software, productivity podcasts, wellness retreats.",Time Management Techniques,Personal Development Industry Standards,high,"""GetAbstract Book Summaries""",3/14/2022,Time Management Techniques,lightbulb,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
diy_culture,DIY Culture,,Arts and Crafts,,,,,,,,,,"{
  ""diy_culture"": {
    ""depends_on"": [""craftsmanship"", ""creativity"", ""sustainability"", ""home_improvement"", ""woodworking"", ""sewing"", ""recycling""],
    ""used_by"": [""makerspaces"", ""craft_communities"", ""environmental_movement""],
    ""related_to"": [""maker_culture"", ""upcycling"", ""self_reliance""]
  }
}",,,,,,,,,,,,,,,,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
alternative_lifestyles,Alternative Lifestyles,Contemporary,Sociology,"Non-traditional Living Arrangements, LGBTQ+ Studies, Veganism and Vegetarianism, Minimalism and Simple Living, Off-grid Living, Eco-conscious Living, Polyamory and Non-monogamy, Intentional Communities, New Age Spirituality, Digital Nomadism, Tiny House","Comprehensive coverage of various non-traditional lifestyle choices, their cultural, social, and psychological aspects, including but not limited to minimalism, nomadism, off-grid living, LGBTQ+ lifestyles, polyamory, veganism, and other ethical, ecological or philosophical lifestyle choices.","Alternative lifestyles refer to ways of living that are outside the societal norm, often characterized by non-traditional choices in personal relationships, economic pursuits, and living arrangements. This can include but is not limited to, minimalism, nomadic living, off-grid living, polyamory, veganism,",1960,Contemporary,"sociology, psychology, culture, social_norms, personal_preferences, health_and_wellness, economics","Subcultures, countercultures, LGBTQ+ community, veganism, minimalism, digital nomadism, polyamory, intentional communities, off-grid living, sustainable living, new age spirituality.","polyamory, minimalism, veganism, nomadism, off-grid living, LGBTQ+ community, holistic health, spiritual practices","Counterculture movements, Sexual revolution, Digital nomadism, Minimalism, LGBTQ+ rights movement, Veganism, Zero waste movement, Off-grid living, Tiny house movement, Polyamory acceptance, Communal living, New Age movement","{
  ""alternative_lifestyles"": {
    ""depends_on"": [""sociology"", ""psychology"", ""cultural_studies"", ""anthropology""],
    ""used_by"": [""social_work"", ""counseling_psychology"", ""health_education"", ""public_policy""]
  }
}",Indigenous knowledge systems,Understanding and respecting diverse cultural practices and traditions,Holistic and experiential knowledge,"Polyamory in Western Societies, Minimalism in Japan, Vanlife in North America, Communal Living in Scandinavia, Singlehood in Urban Cities",Virtual Reality for immersive experiences,Potential for new living conditions and societies,Sustainable living practices,"Communal Living, Veganism, Minimalism, Van Life, Digital Nomadism, Off-grid Living, Tiny House Movement, Zero Waste Lifestyle, Polyamory, Naturism",Holistic Health and Wellness Coaching,Non-normative societal practices,high,"""Journal of Alternative Lifestyles Studies""",3/1/2022,Polyamory,peace_sign,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
gaming_subcultures,Gaming Subcultures,,Video Games,,,,,,,,,,"{
  ""gaming_subcultures"": {
    ""depends_on"": [""video_games"", ""game_design"", ""game_theory"", ""pop_culture"", ""social_science""],
    ""related_to"": [""esports"", ""game_development"", ""game_critique"", ""online_communities"", ""fandom""]
  }
}",,,,,,,,,,,,,,,,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
online_activism,Online Activism,,Social Sciences,,,,,,,,,,"{
  ""online_activism"": {
    ""dependencies"": [
      {
        ""id"": ""internet_technology"",
        ""name"": ""Internet Technology""
      },
      {
        ""id"": ""social_media"",
        ""name"": ""Social Media""
      },
      {
        ""id"": ""digital_communication"",
        ""name"": ""Digital Communication""
      },
      {
        ""id"": ""political_science"",
        ""name"": ""Political Science""
      },
      {",,,,,,,,,,,,,,,,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
niche_aesthetics,Niche Aesthetics,,Art & Design,,,,,,,,,,"{
  ""niche_aesthetics"": {
    ""depends_on"": [""art_theory"", ""cultural_studies"", ""visual_arts"", ""design_principles""],
    ""influences"": [""fashion_design"", ""interior_design"", ""graphic_design"", ""media_production""]
  }
}",,,,,,,,,,,,,,,,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
conspiracy_theories,Conspiracy Theories,Historical to Contemporary,Sociology,"Paranormal Studies, Political Science, Sociology, Psychology, Media Studies, History, Cultural Studies",Partial,"Conspiracy theories are speculative ideas suggesting that significant events or situations are the result of secret plots by covert groups or individuals. These theories often reject or doubt mainstream or official explanations of such events. They span various domains including politics, history, science, technology, and culture. Some well-known examples include theories",1768,Modern History,"Paranoia, misinformation, political beliefs, social psychology, mass media, historical events, cultural context","UFO sightings, New World Order, Illuminati, Moon Landing Hoax, 9/11 Truth Movement, Flat Earth Theory, JFK Assassination, Chemtrails, Global Warming Denial, COVID-19 Pandemic Misinformation, QAnon, Deep State, Holocaust Denial,","UFO sightings, secret societies, government cover-ups, alien abductions, New World Order, Illuminati, Bigfoot sightings, JFK assassination theories, 9/11 truth movement, moon landing hoax theories","Development from personal paranoia, political manipulation, cultural fears, historical events, misinformation spread, internet and social media influence","{
  ""conspiracy_theories"": {
    ""depends_on"": [""psychology"", ""sociology"", ""history"", ""political_science""],
    ""used_by"": [""media_studies"", ""cultural_studies""]
  }
}",Limited Presence,Minimal,"Belief in hidden or suppressed knowledge, distrust in mainstream narratives, interpretation of ambiguous evidence","Worldwide, Varied by Region",Use of Internet and Social Media for Dissemination,"Conspiracy theories often question the authenticity and motives of space exploration missions, suggesting alternate narratives such as staged moon landings, hidden extraterrestrial encounters, and secret space programs.",Critical thinking and media literacy education,"Moon landing hoax theory, 9/11 truther movement, Flat Earth theory, JFK assassination conspiracy theories, QAnon, Roswell UFO incident, Illuminati theories, New World Order theory, COVID-19 pandemic conspiracy theories, Chemtrail conspiracy theory",Analysis and critical evaluation of unverified claims,,variable,Conspiracy Theories Archive Database,3/1/2022,Types of Conspiracy Theories,magnifying_glass,Conspiracy & Fringe,Cultural / Social / Informal,High,Low,TRUE
alternative_history,Alternative History,,Literature & Fiction,,,,,,,,,,"{
  ""alternative_history"": {
    ""depends_on"": [""history"", ""literature"", ""political_science"", ""sociology""],
    ""used_by"": [""science_fiction"", ""speculative_fiction"", ""historical_fiction""]
  }
}",,,,,,,,,,,,,,,,Conspiracy & Fringe,Cultural / Social / Informal,High,Low,TRUE
occult_esoterica,Occult & Esoterica,Ancient times to Present,Religion & Spirituality,"Astrology, Alchemy, Divination, Magic, Spiritualism, Theosophy, Kabbalah, Tarot Reading, Numerology, Witchcraft, Hermeticism, Gnosticism, Mysticism, Shamanism, Paganism, Occult Sciences, Esoteric Philosophy, Paran","Mysticism, Astrology, Alchemy, Divination, Magic, Spiritualism, Theosophy, Hermeticism, Gnosticism, Paganism, Shamanism, Wicca, Tarot, Runes, Numerology, Paranormal Phenomena, Occult Literature and","Occult and Esoterica refers to the study and practice of mystical, supernatural, and magical powers or phenomena. This field encompasses various practices and beliefs such as astrology, alchemy, divination, spiritualism, and witchcraft. It also includes the exploration of hidden meanings and symbolism in various religious",-2000,Ancient to Modern Times,"Religion, Philosophy, Anthropology, Psychology, History, Literature","Alchemy, Astrology, Divination, Magic, Mysticism, Paganism, Spiritualism, Theosophy, Witchcraft, Kabbalah, Tarot, Hermeticism, Gnosticism, Shamanism, Paranormal, Supernatural, Mythology, Symbolism, Metaphysics","Astrology_Mysticism, Alchemy_Hermeticism, Tarot_Divination, Paganism_Witchcraft, Theosophy_Spiritualism","Alchemy, Astrology, Divination, Witchcraft, Ceremonial Magic, Spiritualism, Theosophy, Chaos Magic, Hermeticism, Kabbalah, Shamanism, Wicca, Paganism, Druidism, Gnosticism, Rosicrucianism, Freemasonry","{
  ""occult_esoterica"": {
    ""dependencies"": [
      ""religion_theology"",
      ""philosophy"",
      ""psychology"",
      ""history"",
      ""anthropology"",
      ""mythology_folklore"",
      ""literature""
    ]
  }
}","Shamanism, Voodoo, Tantra, Taoism, Sufism",Shamanic Practices,"Astrology, Alchemy, Tarot, Numerology, Kabbalah, Divination, Theosophy, Hermeticism, Gnosticism, Chaos Magic, Wicca, Shamanism","Western Esotericism, Eastern Mysticism, African Traditional Religions, Shamanism, Neo-Paganism, New Age Spirituality, Gnosticism, Hermeticism, Theosophy, Kabbalah",Development of Digital Divination Tools,Potential metaphysical interpretations and influences on space exploration concepts,Understanding of spiritual and metaphysical realms,"Astrology, Tarot Reading, Alchemy, Wicca Practices, Ritual Magic, Divination, Spiritualism, Theosophy, Hermeticism, Kabbalah Studies","Astrology, Tarot Reading, Alchemy, Divination, Ritual Magic Practice, Spiritual Healing, Mediumship, Numerology","Hermetic Order of the Golden Dawn, Theosophical Society, Church of Satan, Wiccan Rede, Aleister Crowley's Thelema, Rosicrucianism",high,"""The Hermetic Library""",3/1/2022,Astrology,crystal_ball,Conspiracy & Fringe,Cultural / Social / Informal,High,Low,TRUE
